0.000000 	 -1.#IND00 	 -1.#IND00 	 -1.#IND00 	 -1.#IND00 	 -1.#IND00 	 -1.#IND00 
0.186000 	 0.994244 	 0.061786 	 0.002301 	 0.000061 	 0.000001 	 0.000000 
0.187000 	 0.994182 	 0.062116 	 0.002325 	 0.000062 	 0.000001 	 0.000000 
0.188000 	 0.994120 	 0.062445 	 0.002350 	 0.000063 	 0.000001 	 0.000000 
0.189000 	 0.994057 	 0.062775 	 0.002375 	 0.000064 	 0.000001 	 0.000000 
0.190000 	 0.993994 	 0.063105 	 0.002400 	 0.000065 	 0.000001 	 0.000000 
0.191000 	 0.993931 	 0.063435 	 0.002426 	 0.000066 	 0.000001 	 0.000000 
0.192000 	 0.993867 	 0.063764 	 0.002451 	 0.000067 	 0.000001 	 0.000000 
0.193000 	 0.993803 	 0.064094 	 0.002477 	 0.000068 	 0.000001 	 0.000000 
0.194000 	 0.993739 	 0.064424 	 0.002502 	 0.000069 	 0.000001 	 0.000000 
0.195000 	 0.993675 	 0.064753 	 0.002528 	 0.000070 	 0.000002 	 0.000000 
0.196000 	 0.993610 	 0.065083 	 0.002554 	 0.000072 	 0.000002 	 0.000000 
0.197000 	 0.993544 	 0.065412 	 0.002580 	 0.000073 	 0.000002 	 0.000000 
0.198000 	 0.993479 	 0.065742 	 0.002606 	 0.000074 	 0.000002 	 0.000000 
0.199000 	 0.993413 	 0.066071 	 0.002633 	 0.000075 	 0.000002 	 0.000000 
0.200000 	 0.993347 	 0.066400 	 0.002659 	 0.000076 	 0.000002 	 0.000000 
0.201000 	 0.993280 	 0.066730 	 0.002686 	 0.000077 	 0.000002 	 0.000000 
0.202000 	 0.993213 	 0.067059 	 0.002712 	 0.000078 	 0.000002 	 0.000000 
0.203000 	 0.993146 	 0.067388 	 0.002739 	 0.000079 	 0.000002 	 0.000000 
0.204000 	 0.993078 	 0.067717 	 0.002766 	 0.000081 	 0.000002 	 0.000000 
0.205000 	 0.993011 	 0.068047 	 0.002793 	 0.000082 	 0.000002 	 0.000000 
